Structure,Specie,Site,Energy (eV)
0.797-320,H,H_10,-14191.615438
0.797-320,OH,OH_1,-14751.374738
0.797-320,OH,OH_2,-14757.799903
0.797-320,OH,OH_3,-14757.720787
0.797-320,OH,OH_4,-14757.689883
0.797-320,OH,OH_5,-14757.728196
0.797-320,OH,OH_6,-14757.768490
0.797-320,OH,OH_7,-14757.787036
0.797-320,OH,OH_8,-14744.929271
0.797-320,OH,OH_9,-14757.733710
0.797-320,OH,OH_10,-14757.738995
0.797-320,OOH,OOH_1,-15319.769701
0.797-320,OOH,OOH_2,-15320.791117
0.797-320,OOH,OOH_3,-15321.147610
0.797-320,OOH,OOH_4,-15321.195924
0.797-320,OOH,OOH_5,-15321.231715
0.797-320,OOH,OOH_6,-15319.379159
0.797-320,OOH,OOH_7,-15316.672625
0.797-320,OOH,OOH_8,-15320.419654
0.797-320,OOH,OOH_9,-15320.960149
0.797-320,OOH,OOH_10,-15321.161443
0.797-320,O,O_1,-14735.915005
0.797-320,O,O_2,-14739.880008
0.797-320,O,O_3,-14739.819429
0.797-320,O,O_4,-14737.463821
0.797-320,O,O_5,-14737.475110
0.797-320,O,O_6,-14739.860118
0.797-320,O,O_7,-14739.920771
0.797-320,O,O_8,-14739.948787
0.797-320,O,O_9,-14644.086840
0.797-320,O,O_10,-14739.837543
0.900-3,H,H_1,-10004.852687
0.900-3,H,H_2,-10004.852956
0.900-3,OH,OH_1,-10571.243297
0.900-3,OH,OH_2,-10571.243759
0.900-3,OOH,OOH_1,-11135.318400
0.900-3,OOH,OOH_2,-11135.250782
0.900-3,O,O_1,-10556.572999
0.900-3,O,O_2,-10554.672463
